"id","userId","searchDate","networkCount","reason"
"8a1b413a-79dc-449e-b21b-ffcf379069d1","***","2026-07-24T16:41:50.325Z","2",""
"77a0fb1b-304e-4356-a624-1771e9af29e9","***","2026-07-24T19:17:26.857Z","482",""
"7a6cf525-0ebe-4720-b076-cb505ed3144c","***","2026-07-24T19:28:12.416Z","470",""
"e1fa3007-a33c-4503-9ea2-9d817da05fce","***","2026-07-24T20:33:31.902Z","1",""
"1f7fc6e3-3014-4595-993d-dfd70a526fef","***","2026-07-24T20:55:14.914Z","470",""
"69e1e2a0-2894-4119-853f-8f8030cc5d23","***","2026-07-24T21:49:37.199Z","482",""
"e0616a46-3f90-4034-b479-a37599e5df93","***","2026-07-24T22:28:53.663Z","482",""
"b7373b84-dc52-4e86-984d-734532338a92","***","2026-07-24T23:00:28.685Z","482",""
"968ebcd1-57b6-464a-8c9b-59f4d276bb00","***","2026-07-25T01:20:05.358Z","482",""
"14fd250a-00b1-47e8-a7d1-8d5676682fed","***","2026-07-25T05:20:34.711Z","482",""
"45b3bc81-c229-4c1d-b94a-c753f61d70f7","***","2026-07-25T05:30:08.366Z","6055","flee"
"4494c5e3-b386-4ae8-8c61-4a8b15cfae05","***","2026-07-25T08:38:52.760Z","470",""
"a784e9a2-c770-4a76-98c4-e0100b3dc8ed","***","2026-07-25T13:09:32.659Z","482",""
"982f8096-e6bf-4ee7-a3ee-083e87f5d46c","***","2026-07-25T13:44:44.370Z","2",""
"2a4f9a40-312a-474a-a4a3-b4fbec0ea441","***","2026-07-25T15:06:32.344Z","2",""
"970a58aa-33db-4acb-88ce-bf1deecc67e3","***","2026-07-25T15:31:19.585Z","1","26-006963"
"05184bec-a390-4873-872d-54c07d73bf6a","***","2026-07-25T17:03:12.820Z","2",""
"c8ed386c-5bea-46ec-b7a8-3c5b26adda4c","***","2026-07-25T20:10:05.197Z","482","26-006963"
"d8dc337b-4fac-4b0b-bac9-18f16cec66dc","***","2026-07-25T20:44:27.370Z","482",""
"0243613c-8280-418b-b80f-1e143aed2c14","***","2026-07-25T21:04:04.617Z","2","26-007554"
"170734bc-2241-4f83-9850-a6fb5290b37f","***","2026-07-25T21:27:42.383Z","2",""
"afa2f945-f04a-4210-9ec9-28d23fd33a52","***","2026-07-25T22:24:30.432Z","482",""
"ef6f5b00-936f-4846-8f9c-a004ec0a8cd5","***","2026-07-25T22:46:29.196Z","482","stolen"
"f621d7cc-34e0-4980-97b3-83fb8ea27116","***","2026-07-25T23:00:18.946Z","482",""
"378dd9d5-a2ba-49ca-bddd-11bfa5e07bb3","***","2026-07-26T00:20:38.034Z","482",""
"051bb43e-5932-4e18-93ea-fdcc9d27a891","***","2026-07-26T00:41:06.583Z","482","suicidal suspect"
"b258f523-6df0-40f5-88c1-8def29ead51d","***","2026-07-26T13:44:22.955Z","2",""
"a9a87bed-8e05-4590-82e1-c5009bc159dc","***","2026-07-26T14:17:33.138Z","2",""
"788a57a6-767c-4129-a22d-9b126feaddca","***","2026-07-26T20:10:08.792Z","2",""
"b0a14c78-4423-4b9d-a6ee-d81510ee592f","***","2026-07-26T23:05:46.150Z","482",""
"b75b8576-a531-4f7b-891b-9f1c9441ae72","***","2026-07-27T01:03:54.059Z","482",""
"394170df-9866-4194-b3bf-101ea53ad7a5","***","2026-07-27T02:00:37.633Z","2",""
"59424d0b-3c48-4335-b18e-c5e6035c60a6","***","2026-07-27T03:09:29.130Z","482",""
"3640258e-ac57-4b93-9e40-194815c40d14","***","2026-07-27T05:52:50.528Z","482",""
"bca9084b-6721-40a4-85d4-dd226fc169ae","***","2026-07-27T07:32:07.260Z","470",""
"4059d961-b4ef-497e-8d45-735b7bd106f0","***","2026-07-27T08:38:04.173Z","470",""
"b74d096c-6779-49b8-911f-a8e75d216d7d","***","2026-07-27T12:58:24.591Z","469","Eluded"
"413f1883-8fb2-4001-ba24-340473704e5f","***","2026-07-27T15:13:30.267Z","481",""
"6a978d50-9b4f-46fc-ae1f-4f0d8cf134ce","***","2026-07-27T15:48:55.583Z","2","Eluding"
"24236edb-495d-442a-bb68-ae7b9f45d8bb","***","2026-07-27T20:59:31.617Z","481",""
"d96894e4-c733-44c4-bb6e-190033e69f02","***","2026-07-27T21:00:56.845Z","481",""
"8a1d5663-6054-4034-ac41-9dde7d9e9095","***","2026-07-27T21:01:11.322Z","2",""
"602242ae-d972-49d3-9365-dd9284c2e5f3","***","2026-07-27T21:01:27.683Z","469",""
"c4295b02-1b31-47b6-ba9a-955ecead4d35","***","2026-07-27T21:06:53.352Z","481","robbery"
"19dab327-688f-4928-97c9-a9bb51f2cae7","***","2026-07-27T22:03:08.261Z","481",""
"97924792-c412-48be-9cc6-d9ff37a72f83","***","2026-07-27T22:13:46.458Z","481","investigation"
"aea2f358-7f8d-489d-8f67-25f77747301a","***","2026-07-27T22:18:23.860Z","481",""
"6ce2a6f7-ca9f-400f-a975-80c2d5749b8b","***","2026-07-27T22:21:50.142Z","2",""
"9294b677-c92f-470a-a647-8d28745e7b14","***","2026-07-27T23:02:34.548Z","481","wanted"
"0d867d13-e6d7-40f6-bc57-21762f102d61","***","2026-07-28T00:04:16.163Z","2","stolen vehicle"
"cbae68e3-fb6f-4fd4-a16b-33e482e4fa4b","***","2026-07-28T00:40:07.694Z","481",""
"edc94c49-5635-4ac6-afb4-6a90d5dab03d","***","2026-07-28T00:40:49.317Z","481","missing"
"f25d7b24-35e7-419d-abb3-245ec8b66e8f","***","2026-07-28T00:55:04.961Z","481",""
"637e4d19-349f-46d3-9812-14ac0c27d3b4","***","2026-07-28T05:57:20.912Z","469",""
"5a4ee886-8502-4beb-b82d-a3eb2177d09e","***","2026-07-28T05:57:27.405Z","2",""
"4a4c6d29-4334-4b32-b583-2a8b55bcd772","***","2026-07-28T06:04:34.317Z","469",""
"c11a0612-6a7e-47d6-9e91-4ae97b36c585","***","2026-07-28T10:45:01.417Z","469",""
"49490b30-c74c-42e5-8ad6-53dfee45ef01","***","2026-07-28T11:38:29.980Z","481",""
"129cfada-3c8d-4199-8932-bccc1082a043","***","2026-07-28T13:57:16.124Z","2","drug investigation"
"c7818193-3569-42a6-a8b3-866a25c2595d","***","2026-07-28T14:34:14.753Z","481","suspect"
"20c811e5-89d9-44fc-8387-849a54526414","***","2026-07-28T14:36:02.026Z","481",""
"e6495421-c91d-4a54-aefb-6fa921690bf4","***","2026-07-28T16:56:56.100Z","2","drug investigation"
"e5227b0e-a88b-45f4-915f-14f5e6ea2f6e","***","2026-07-28T17:14:11.016Z","481",""
"1451e83f-1e43-42af-b47a-2e899152ff02","***","2026-07-28T17:36:29.477Z","481",""
"08356044-5446-42f8-b35a-f6a27e9dc148","***","2026-07-28T18:16:45.991Z","2",""
"88882eca-23d4-4bd2-b1bb-4f59f3b937ef","***","2026-07-28T20:14:09.130Z","480",""
"448622d3-ef2f-4274-9910-15e1ab815c6c","***","2026-07-28T20:22:08.051Z","2",""
"ff0ef1fa-74d1-483c-8292-f749bc0e16a2","***","2026-07-28T21:24:58.184Z","480",""
"135c58e4-acdb-4137-9a3a-eb6ddc54e745","***","2026-07-28T21:33:25.289Z","6053",""
"419112b5-92cd-4188-9cc2-3162681fe4eb","***","2026-07-28T22:23:21.732Z","468",""
"c7cda2d9-8dfe-4acd-beb3-b075c0f0b933","***","2026-07-29T04:45:01.475Z","2",""
"ba95b2ab-b936-4fb9-82a0-5666f59dbd5c","***","2026-07-29T05:27:51.354Z","480",""
"e6bb5a65-f143-4736-81a4-52d855865944","***","2026-07-29T08:02:18.066Z","478",""
"9af500aa-a7a3-4bae-9f90-133bf846165b","***","2026-07-29T09:36:10.264Z","480",""
"59c85ebb-169b-4692-8d7c-962fda846d05","***","2026-07-29T09:37:52.726Z","468",""
"9f9cd795-1dda-4647-a6b9-66b62b4f733d","***","2026-07-29T10:03:32.769Z","480",""
"190023bd-8458-4874-9990-09536c245212","***","2026-07-29T10:05:47.741Z","480",""
"14b1c027-a00e-46a1-bb2d-3956414b79ac","***","2026-07-29T12:33:06.354Z","2",""
"de536ebb-08dd-4e3a-a5f3-6befeda02d5b","***","2026-07-29T14:32:12.186Z","480","vehicle"
"25f7be83-5b1d-461c-8076-d5af15e9de57","***","2026-07-29T14:58:05.175Z","480",""
"f5381008-8bce-4237-86d6-f0f2385337fe","***","2026-07-29T21:31:23.520Z","479",""
"26dec266-f0ee-4c82-a596-f1f6b83f7cf0","***","2026-07-30T01:22:56.992Z","479",""
"de292d17-c1a5-4c2e-bb53-802ce2520cba","***","2026-07-30T02:21:34.716Z","479",""
"4f23fd6e-f4de-4cea-ad77-c3567997d2d2","***","2026-07-30T04:41:20.758Z","467",""
"df19cb2d-8b20-4f63-96f3-f6cbc1c0d970","***","2026-07-30T07:26:32.301Z","479",""
"4dfb320a-4609-4505-9c40-1747b10c8d66","***","2026-07-30T11:50:39.943Z","2",""
"a0b6f9a9-ac61-4b0a-96f6-9d977d309364","***","2026-07-30T13:14:05.042Z","2",""
"ad0382ad-617f-4daa-a9b8-53753f09d34a","***","2026-07-30T13:31:23.854Z","479",""
"fba5ee10-7f53-4548-b3ad-5dddf7bb3f59","***","2026-07-30T14:20:47.499Z","479",""
"69db7826-1c87-4c9c-b9ce-908f95b03d55","***","2026-07-30T14:50:40.155Z","479","stolen"
"a98deb9e-a56f-4b78-b279-7001dbf7ed37","***","2026-07-30T15:21:57.610Z","479",""
"8a387ee3-bdf8-40b4-b9ba-d4d458c50602","***","2026-07-30T16:33:42.712Z","2","wanted"
"26eda07c-0434-4545-89f6-9506eb5ff95c","***","2026-07-30T16:46:27.255Z","2",""
"2830d3ce-1946-4d8b-a479-e1de528ebee8","***","2026-07-30T19:25:51.503Z","467",""
"c46169d0-43c1-4a55-91fe-a0f8eeffa38e","***","2026-07-30T20:19:50.575Z","2",""
"e67f1070-6594-428a-afcf-1b5f697147d6","***","2026-07-30T20:56:26.227Z","2",""
"f691e152-b765-4b17-86e2-fc7759a6eda6","***","2026-07-30T21:18:02.510Z","2",""
"e05f0af2-dba5-4b84-8925-7ce8b75aebdc","***","2026-07-30T22:58:33.073Z","479","investigation"
"e451db43-5fae-4684-b127-2673dd1f5f4a","***","2026-07-30T23:00:25.720Z","479","investigation"
"5eff698e-ed51-4fab-bb70-185db018d7a7","***","2026-07-31T07:04:09.870Z","467",""
"9607f248-a2e5-45a7-a163-387f7b0d4a80","***","2026-07-31T13:46:04.136Z","479","stolen"
"353f221a-9465-4c27-a9db-2cf6b7800873","***","2026-07-31T15:54:33.828Z","479",""
"63e01f59-e82e-4453-beed-52eb92d51cb2","***","2026-07-31T15:55:54.895Z","479","This individual is on probation and just cut off his GPS Monitoring. It is believed that he is in possession of this vehicle."
"bdf3ee1a-5051-4d3a-96b6-f64375568493","***","2026-07-31T16:05:40.557Z","2",""
"83e6bc00-1200-4370-a718-c3988ff132ee","***","2026-07-31T16:08:01.107Z","479",""
"da2c83d3-ad6c-4da4-a110-c4761db773fe","***","2026-07-31T16:18:11.930Z","467",""
"0a17b073-85cb-42b0-99b2-8d94d3f81f60","***","2026-07-31T19:20:03.784Z","78","Wanted Party"
"06ece571-aad7-40b9-bb10-627eaf84e679","***","2026-07-31T20:04:38.806Z","78","Wanted Party"
"cfd48028-ff89-41e2-ae53-f5bd17b73948","***","2026-07-31T20:13:42.653Z","6072",""
"94b4ff64-9d25-452e-b0b2-1e85e1f9c667","***","2026-07-31T20:36:28.290Z","2",""
"1497e003-7d1e-4be4-a5aa-55eaa3a91eca","***","2026-07-31T21:26:22.737Z","78",""
"0e6f0b12-a468-4a8a-bd7b-861ea65897c2","***","2026-07-31T21:50:09.830Z","479",""
"4fd3844e-358b-4fc6-9f5b-f4136dd07c8a","***","2026-07-31T21:53:53.723Z","6057",""
"accea721-6f1d-4306-a133-e9b5a6446c3a","***","2026-07-31T23:22:39.238Z","467","Fled"
"a1691190-31c8-421b-81c6-1fc146e7be06","***","2026-07-31T23:39:47.654Z","467",""
"c8fc8194-6939-4944-9b1b-8b31a99415ae","***","2026-07-31T23:48:56.379Z","2",""
"cb48ad6f-b03e-44e8-b466-04795d8c4faa","***","2026-08-01T00:09:01.132Z","479",""
"bb8ee162-331b-4019-86b1-fa8359b0c8a5","***","2026-08-01T01:44:16.958Z","479",""
"002896a3-2260-4062-aa8a-f423dfbd8f5f","***","2026-08-01T02:09:53.898Z","479",""
"a516a73f-149a-403a-b73c-63c7c8ee173f","***","2026-08-01T03:19:23.684Z","479",""
"5ed5f741-4798-4299-b365-74df3cc5c1c4","***","2026-08-01T05:24:24.386Z","479",""
"31418775-b38c-4793-bfe8-297c5332f95f","***","2026-08-01T19:06:32.035Z","477",""
"b0c3c51f-f6f9-4d41-81bd-7a3b71ef9386","***","2026-08-01T22:32:51.846Z","477",""
"175d7473-6bc0-46bd-9781-0268f80b7b25","***","2026-08-02T02:47:19.792Z","477",""
"c42dfc91-f987-47d7-a657-45e12582fa8c","***","2026-08-02T06:41:23.240Z","465",""
"8800f083-d570-4ce1-9edd-1b4d1913f6f4","***","2026-08-02T08:43:33.925Z","2",""
"759411bb-9021-407e-820b-1a863c80c846","***","2026-08-02T09:03:51.099Z","2",""
"eefcdda1-4b8f-4547-88d1-709d188448f0","***","2026-08-02T14:08:43.549Z","2",""
"1bfa8f24-1a2f-4eb8-8719-d56e48640afe","***","2026-08-02T14:09:30.884Z","477",""
"e0fd166b-2d39-4868-89d5-780744672146","***","2026-08-02T14:28:25.347Z","2","stolen vehicle"
"1591cbc0-e19c-458f-87bf-8d599e123ca4","***","2026-08-03T00:00:35.477Z","2",""
"6514d75b-a9cb-463d-8db1-495a559cb3ed","***","2026-08-03T01:57:51.746Z","477",""
"e716aa65-33ca-47da-a87a-716dc643326e","***","2026-08-03T02:03:15.664Z","2",""
"7ae7e2de-7ba8-4106-ac57-93c519fb51a4","***","2026-08-03T13:04:14.820Z","2",""
"f5fd16e3-8753-4252-80bd-bd120cf77bd8","***","2026-08-03T13:24:33.276Z","477",""
"8f5a6bbf-1dd4-4b2b-b789-031cd385dd04","***","2026-08-03T13:41:57.511Z","477","stolen"
"9dd5d956-4d57-41c6-848f-0d78cd9c3539","***","2026-08-03T15:01:47.240Z","477",""
